房源名称,房型面积,户型,朝向,地区,具体地址,照片地址,链接地址,月租价格
整租·美的麓府,103.00㎡,3室2厅2卫,南,岳麓,麓谷西-美的麓府,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692099439621046272.html,3000 元/月
整租·洋湖公馆二期,67.00㎡,2室1厅1卫,南,岳麓,洋湖垸-洋湖公馆二期,"https://image1.ljcdn.com/110000-inspection/pc1_4aSaI416I.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692100244868694016.html,2400 元/月
合租·中建梅溪湖中心,15.00㎡,5室1厅1卫,东南,岳麓,梅溪湖北岸-中建梅溪湖中心,https://image1.ljcdn.com/rent-user-avatar/d2ff6408-1742-451e-87f3-f4dee5f5224c.250x182.jpg,https://cs.lianjia.com/zufang/CS1675427673020563456.html,858 元/月
整租·新长海广场,87.00㎡,3室2厅2卫,南北,长沙县,泉塘-新长海广场,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692098073649479680.html,3000 元/月
整租·桔园小区,46.00㎡,1室1厅1卫,南,雨花,雨花亭-桔园小区,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692100482727673856.html,1300 元/月
合租·湘府邻伴,15.00㎡,5室1厅2卫,东南,天心,德思勤-湘府邻伴,https://image1.ljcdn.com/rent-user-avatar/a8a48f16-2ec0-4b9c-8ff9-05331b080e98.250x182.jpg,https://cs.lianjia.com/zufang/CS1684046557806067712.html,657 元/月
整租·御溪国际,106.00㎡,3室1厅0卫,东南,雨花,德思勤-御溪国际,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692070499183493120.html,5400 元/月
整租·天赐良园,88.68㎡,2室2厅1卫,南北,雨花,武广新城-天赐良园,"https://image1.ljcdn.com/110000-inspection/pc1_dzwTBW3pL.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692071536334209024.html,2400 元/月
整租·宜居莱茵城,82.00㎡,2室1厅1卫,南,岳麓,河西人人乐-宜居莱茵城,"https://image1.ljcdn.com/110000-inspection/pc1_x2KAHd2K9.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692077407470616576.html,2100 元/月
整租·白沙湾嘉园,152.00㎡,3室2厅2卫,南,雨花,武广新城-白沙湾嘉园,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692090592072302592.html,2700 元/月
整租·地泰人民公馆,42.00㎡,1室1厅1卫,南,雨花,东塘-地泰人民公馆,"https://image1.ljcdn.com/110000-inspection/pc1_5LCjri5xr_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692077236313653248.html,2700 元/月
整租·保利香槟国际,125.00㎡,4室2厅2卫,南北,长沙县,万家丽北-保利香槟国际,"https://image1.ljcdn.com/110000-inspection/pc1_vkrmWuxyo.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692089802863673344.html,2600 元/月
整租·福晟翡翠湾,38.00㎡,1室1厅1卫,南,岳麓,梅溪湖南岸-福晟翡翠湾,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692089363732627456.html,1600 元/月
合租·麓阳和景雅苑,25.00㎡,5室1厅2卫,东南,岳麓,汽车西站-麓阳和景雅苑,https://image1.ljcdn.com/rent-user-avatar/9486264b-2e49-4740-806c-3ced9ae0bdaa.250x182.jpg,https://cs.lianjia.com/zufang/CS1664556933354356736.html,999 元/月
合租·雍景园,15.00㎡,5室1厅2卫,东南,芙蓉,晚报-雍景园,https://image1.ljcdn.com/rent-user-avatar/e09d17f2-499f-4eed-a579-4991b4aaae47.250x182.jpg,https://cs.lianjia.com/zufang/CS1650411526613368832.html,649 元/月
整租·恒大华府,90.00㎡,2室2厅1卫,南,岳麓,市政府-恒大华府,"https://image1.ljcdn.com/110000-inspection/8b4caa64-1446-4a33-9f5d-7db7ccc081fc.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692079672008900608.html,2300 元/月
整租·五一东村,125.00㎡,4室2厅1卫,南,芙蓉,火车站-五一东村,"https://image1.ljcdn.com/110000-inspection/pc1_t02V1DqFl.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692084336578265088.html,2800 元/月
整租·华银园,130.00㎡,3室2厅2卫,南,雨花,雨花亭-华银园,"https://image1.ljcdn.com/110000-inspection/pc1_7uIltyLQv.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692086031987245056.html,2900 元/月
合租·振业城,20.00㎡,5室1厅2卫,东南,岳麓,梅溪湖北岸-振业城,https://image1.ljcdn.com/rent-user-avatar/4779b396-56d2-43a4-89f6-39a0ce08f599.250x182.jpg,https://cs.lianjia.com/zufang/CS1692406158570029056.html,1108 元/月
合租·中建梅溪湖中心,18.00㎡,5室1厅2卫,东南,岳麓,梅溪湖北岸-中建梅溪湖中心,https://image1.ljcdn.com/rent-user-avatar/9b0a7a9d-25a1-476c-8568-81c769c24a69.250x182.jpg,https://cs.lianjia.com/zufang/CS1675422980953341952.html,649 元/月
合租·中建梅溪湖中心,15.00㎡,5室1厅2卫,东南,岳麓,梅溪湖北岸-中建梅溪湖中心,https://image1.ljcdn.com/rent-user-avatar/b3878833-881d-4ccd-a4b8-6c89c034a3fe.250x182.jpg,https://cs.lianjia.com/zufang/CS1645700860811935744.html,758 元/月
整租·北辰三角洲C2区,129.00㎡,3室2厅1卫,东南,开福,北辰三角洲-北辰三角洲C2区,https://image1.ljcdn.com/rent-user-avatar/6cc07201-cb4f-4bb1-a95c-6bcd419c81d9.250x182.jpg,https://cs.lianjia.com/zufang/CS1688847812780883968.html,4188 元/月
整租·金色华庭,175.10㎡,5室2厅2卫,南,芙蓉,火车站-金色华庭,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692076401487773696.html,5000 元/月
整租·芙蓉万国城MOMA,61.23㎡,1室1厅1卫,南北,芙蓉,汽车东站-芙蓉万国城MOMA,"https://image1.ljcdn.com/110000-inspection/pc1_V670NkQWZ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692089505546240000.html,1660 元/月
整租·丽都桃源,83.26㎡,2室2厅1卫,南,岳麓,河西人人乐-丽都桃源,"https://image1.ljcdn.com/110000-inspection/pc1_MpPsc5KKc.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614111094744285184.html,2300 元/月
合租·天鸿天府,15.00㎡,5室1厅2卫,东南,天心,铁道学院-天鸿天府,https://image1.ljcdn.com/rent-user-avatar/6ddbaf0c-4b5d-42b3-b229-9782f47723e7.250x182.jpg,https://cs.lianjia.com/zufang/CS1680880412559147008.html,707 元/月
整租·湘卫花苑,154.66㎡,4室2厅2卫,南,岳麓,河西步步高-湘卫花苑,"https://image1.ljcdn.com/110000-inspection/pc1_zcCrxTE8a.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614152353647165440.html,2800 元/月
整租·剑桥名门,42.00㎡,1室1厅1卫,东南,天心,铁道学院-剑桥名门,https://image1.ljcdn.com/rent-user-avatar/e97d03f8-7ca9-4a48-b483-396c0e96710d.250x182.jpg,https://cs.lianjia.com/zufang/CS1679349989697912832.html,1658 元/月
整租·新城和樾,34.01㎡,1室1厅1卫,东西,开福,金霞-新城和樾,"https://image1.ljcdn.com/110000-inspection/pc1_TWMk8ecvM.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614136523307876352.html,1400 元/月
整租·北辰凤凰天街,117.00㎡,2室1厅1卫,西南,开福,北辰三角洲-北辰凤凰天街,"https://image1.ljcdn.com/110000-inspection/pc1_5BszRc78c.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1613878688653246464.html,7500 元/月
合租·凤凰大厦,18.00㎡,5室1厅2卫,东南,芙蓉,浏城桥-凤凰大厦,https://image1.ljcdn.com/rent-user-avatar/887e8742-cde9-41d2-a99e-1e8069af8c8e.250x182.jpg,https://cs.lianjia.com/zufang/CS1692747600245030912.html,808 元/月
整租·华润置地广场二期,49.30㎡,2室1厅1卫,南,长沙县,开元路-华润置地广场二期,"https://image1.ljcdn.com/110000-inspection/pc1_BF5cXcEmD.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614281918889590784.html,2200 元/月
整租·世纪城悦江苑,134.00㎡,3室2厅2卫,南,开福,湘江世纪城-世纪城悦江苑,"https://image1.ljcdn.com/110000-inspection/pc1_UDJpZkhib.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614218526376067072.html,3200 元/月
整租·启迪协信中心,52.00㎡,1室1厅1卫,西,岳麓,观沙岭-启迪协信中心,"https://image1.ljcdn.com/110000-inspection/pc1_VsxbVoN6Z.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614201116239593472.html,3500 元/月
整租·熙台岭社区,70.00㎡,2室1厅1卫,南,天心,书院路-熙台岭社区,"https://image1.ljcdn.com/110000-inspection/c0c257038bab88c3b3c45270da8f8b08-034.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614220404753170432.html,2000 元/月
合租·旭辉香樟公馆,15.00㎡,4室1厅2卫,西南,雨花,树木岭-旭辉香樟公馆,https://image1.ljcdn.com/rent-user-avatar/ffb1ee9c-040c-4433-8879-7b53d02161a1.250x182.jpg,https://cs.lianjia.com/zufang/CS1642804660710408192.html,559 元/月
整租·MOMA当代广场,68.00㎡,1室1厅1卫,南,长沙县,开元路-MOMA当代广场,"https://image1.ljcdn.com/110000-inspection/pc1_ThyYHYsI6.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614583424645857280.html,2000 元/月
合租·中建梅溪湖中心,15.00㎡,5室1厅2卫,东南,岳麓,梅溪湖北岸-中建梅溪湖中心,https://image1.ljcdn.com/rent-user-avatar/ce763533-df79-41ff-b6df-fd36a5b74f88.250x182.jpg,https://cs.lianjia.com/zufang/CS1653364100119396352.html,649 元/月
整租·左岸春天,141.81㎡,3室2厅2卫,南,开福,四方坪-左岸春天,"https://image1.ljcdn.com/110000-inspection/pc1_xtWcr427z.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614442460363096064.html,3200 元/月
整租·牛婆塘社区,48.66㎡,2室1厅1卫,南北,雨花,雨花亭-牛婆塘社区,"https://image1.ljcdn.com/110000-inspection/pc1_5nJfwBnzD.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614472639823216640.html,1800 元/月
整租·阳光城蜜桃园,91.00㎡,3室1厅1卫,东,雨花,武广新城-阳光城蜜桃园,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1614211846087114752.html,3200 元/月
整租·长沙檀府,39.00㎡,1室1厅1卫,南,天心,书院路-长沙檀府,"https://image1.ljcdn.com/110000-inspection/pc1_QBTfFxry9.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614581745208786944.html,2300 元/月
合租·佳天雅苑,15.00㎡,5室1厅2卫,东南,芙蓉,晚报-佳天雅苑,https://image1.ljcdn.com/rent-user-avatar/f3d16534-e14f-4d64-83ad-5c71fd0835ee.250x182.jpg,https://cs.lianjia.com/zufang/CS1684437283450650624.html,457 元/月
整租·桔香苑,126.00㎡,3室2厅2卫,南,雨花,雨花亭-桔香苑,"https://image1.ljcdn.com/430100-inspection/prod-e7e96a69-40a6-445d-bb9e-598fa241b534.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614830223482683392.html,2000 元/月
整租·恒大华府,35.26㎡,1室0厅1卫,北,岳麓,市政府-恒大华府,"https://image1.ljcdn.com/110000-inspection/pc1_2rZNKP6xy.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614836292720263168.html,1300 元/月
整租·南山梅溪一方,152.00㎡,4室2厅2卫,南,岳麓,东方红-南山梅溪一方,"https://image1.ljcdn.com/110000-inspection/pc1_6IwuVnIdq.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614938729724510208.html,4300 元/月
整租·阳光城尚东湾（学园区）,121.33㎡,3室2厅2卫,南,雨花,武广新城-阳光城尚东湾（学园区）,"https://image1.ljcdn.com/110000-inspection/pc1_jhLoAFC8i.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614911437371604992.html,2800 元/月
整租·弘坤云寓,50.00㎡,2室1厅1卫,南,开福,月湖-弘坤云寓,"https://image1.ljcdn.com/110000-inspection/pc1_5PF3Ebyl8.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614848540926803968.html,3000 元/月
整租·保利香槟国际,29.00㎡,1室1厅1卫,南,长沙县,万家丽北-保利香槟国际,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1614845174293200896.html,1000 元/月
合租·中央美郡,15.00㎡,5室1厅2卫,西南,岳麓,金星中路-中央美郡,https://image1.ljcdn.com/rent-user-avatar/25170ddb-ae93-48a8-a683-53a24d63f3e6.250x182.jpg,https://cs.lianjia.com/zufang/CS1640210684128002048.html,699 元/月
合租·润屋美院,18.00㎡,5室1厅2卫,东南,天心,德思勤-润屋美院,https://image1.ljcdn.com/rent-user-avatar/b139bb5c-d3e6-4e68-abd6-65bcbab44b46.250x182.jpg,https://cs.lianjia.com/zufang/CS1653251426329034752.html,609 元/月
整租·湖南石油化学工业局小区,98.00㎡,3室2厅1卫,南北,天心,书院路-湖南石油化学工业局小区,"https://image1.ljcdn.com/110000-inspection/pc1_AyYCaQTdM.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1614883653190418432.html,2000 元/月
合租·中惠锦堂,15.00㎡,5室1厅2卫,东南,芙蓉,尚东-中惠锦堂,https://image1.ljcdn.com/rent-user-avatar/856f7591-fce5-466f-b953-ef14ead4bdd9.250x182.jpg,https://cs.lianjia.com/zufang/CS1692807070937513984.html,557 元/月
合租·筑梦星园,30.00㎡,3室2厅2卫,南,长沙县,万家丽北-筑梦星园,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1614588245247524864.html,1000 元/月
合租·北辰三角洲凤凰公元,18.00㎡,5室0厅3卫,东南,开福,北辰三角洲-北辰三角洲凤凰公元,https://image1.ljcdn.com/rent-user-avatar/d8e4dadc-fb08-4669-bf5d-d566bdb76070.250x182.jpg,https://cs.lianjia.com/zufang/CS1607583654463143936.html,700 元/月
整租·江山帝景哈佛,86.37㎡,2室1厅1卫,南,岳麓,含浦-江山帝景哈佛,"https://image1.ljcdn.com/110000-inspection/1a6bb594-416d-4b6b-957d-f4ae6e57547b.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692128655829893120.html,1800 元/月
整租·下河街商贸城,26.00㎡,1室1厅1卫,东南,天心,五一广场-下河街商贸城,https://image1.ljcdn.com/rent-user-avatar/3de65e80-b3b3-48b1-898f-0a6f7a31711e.250x182.jpg,https://cs.lianjia.com/zufang/CS1595283058926288896.html,1399 元/月
整租·恒盛世家,126.00㎡,3室2厅2卫,南,雨花,铁道学院-恒盛世家,"https://image1.ljcdn.com/110000-inspection/pc1_5403Gch2I.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692133409062649856.html,2200 元/月
整租·卓越中寰,112.00㎡,3室2厅2卫,南,岳麓,滨江新城-卓越中寰,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692128309023866880.html,4500 元/月
整租·下河街商贸城,26.00㎡,1室1厅1卫,东南,天心,五一广场-下河街商贸城,https://image1.ljcdn.com/rent-user-avatar/af9c3082-09a8-4d3f-bf35-e38b90bb44b8.250x182.jpg,https://cs.lianjia.com/zufang/CS1595276615321911296.html,1349 元/月
整租·幸福庄园,125.12㎡,4室2厅2卫,南,天心,暮云-幸福庄园,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692128390967984128.html,1800 元/月
整租·玫瑰园,84.57㎡,2室2厅1卫,南,望城,金星北-玫瑰园,"https://image1.ljcdn.com/110000-inspection/pc1_AxeNtD1hs_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692128541660938240.html,1700 元/月
整租·大财门,55.00㎡,1室1厅1卫,北,雨花,窑岭-大财门,"https://image1.ljcdn.com/110000-inspection/pc1_qShzOfQyb.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692136694909763584.html,2400 元/月
合租·北辰三角洲奥城E3区,25.00㎡,5室0厅2卫,东南,开福,北辰三角洲-北辰三角洲奥城E3区,https://image1.ljcdn.com/rent-user-avatar/7edea667-d2bf-490a-bbaa-1b441f834e30.250x182.jpg,https://cs.lianjia.com/zufang/CS1683684833735213056.html,860 元/月
整租·华润置地广场二期,50.00㎡,1室2厅1卫,南,长沙县,开元路-华润置地广场二期,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692130455756734464.html,2100 元/月
整租·拿铁空间,32.00㎡,1室1厅1卫,南,雨花,雨花亭-拿铁空间,"https://image1.ljcdn.com/110000-inspection/pc1_a6CjheCIz.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692129981733273600.html,1650 元/月
整租·中江佳境天成,108.00㎡,3室2厅2卫,南,雨花,赤岗冲-中江佳境天成,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692128841922772992.html,2600 元/月
整租·标志浪漫满屋,89.00㎡,2室1厅1卫,南,天心,新开铺-标志浪漫满屋,"https://image1.ljcdn.com/110000-inspection/57adb3414ce07fb49d8d6d8ee71ea8a2-069.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692137744781803520.html,2000 元/月
整租·咸嘉湖路1076号,30.00㎡,1室1厅1卫,东南,岳麓,金星中路-咸嘉湖路1076号,https://image1.ljcdn.com/rent-user-avatar/521f09e4-4c91-47e8-8c15-a835110c2b07.250x182.jpg,https://cs.lianjia.com/zufang/CS1607662292046970880.html,1199 元/月
整租·桔园小区,79.00㎡,3室2厅1卫,南北,雨花,雨花亭-桔园小区,"https://image1.ljcdn.com/110000-inspection/pc1_1CyHmhf9R.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692147143432732672.html,1400 元/月
整租·咸嘉湖路1076号,23.00㎡,1室1厅1卫,东南,岳麓,金星中路-咸嘉湖路1076号,https://image1.ljcdn.com/rent-user-avatar/e15214f5-12ae-4493-b2cb-cb820123d049.250x182.jpg,https://cs.lianjia.com/zufang/CS1612389425319247872.html,998 元/月
整租·北辰凤凰天街,400.00㎡,8室2厅3卫,南,开福,北辰三角洲-北辰凤凰天街,"https://image1.ljcdn.com/110000-inspection/pc1_3QrAZtdDj.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692145567515279360.html,27000 元/月
整租·汇金国际,35.00㎡,1室1厅1卫,东南,天心,黄土岭-汇金国际,https://image1.ljcdn.com/rent-user-avatar/4db7ca12-596b-4df7-a1b9-5929729d8442.250x182.jpg,https://cs.lianjia.com/zufang/CS1613750140365963264.html,1699 元/月
整租·北辰三角洲C2区,128.00㎡,3室2厅2卫,南北,开福,北辰三角洲-北辰三角洲C2区,"https://image1.ljcdn.com/110000-inspection/pc1_tqyVAB2qV.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692139717845319680.html,4300 元/月
合租·北辰三角洲奥城E4区,25.00㎡,5室0厅3卫,东南,开福,北辰三角洲-北辰三角洲奥城E4区,https://image1.ljcdn.com/rent-user-avatar/fcd77678-6f88-43ff-8e79-80b9705369cc.250x182.jpg,https://cs.lianjia.com/zufang/CS1683038204443230208.html,950 元/月
合租·北辰三角洲C2区,22.00㎡,5室1厅3卫,东南,开福,北辰三角洲-北辰三角洲C2区,https://image1.ljcdn.com/rent-user-avatar/afa7623d-aa1e-4066-8a61-8f0b6e599b9b.250x182.jpg,https://cs.lianjia.com/zufang/CS1685208575674155008.html,900 元/月
整租·卧琥,55.88㎡,1室1厅1卫,南,开福,月湖-卧琥,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692141572667211776.html,2000 元/月
整租·东原麓印长江,148.00㎡,4室2厅2卫,东南,开福,中南汽车世界-东原麓印长江,"https://image1.ljcdn.com/110000-inspection/pc1_AMDi8fE8p.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692146849906950144.html,4800 元/月
整租·金碧文华,50.00㎡,1室1厅1卫,南,天心,黄土岭-金碧文华,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692146154965303296.html,1550 元/月
整租·卓越浅水湾,35.00㎡,1室1厅1卫,南,岳麓,梅溪湖南岸-卓越浅水湾,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692162074827816960.html,2500 元/月
合租·北辰三角洲奥城E4区,25.00㎡,5室1厅3卫,东南,开福,北辰三角洲-北辰三角洲奥城E4区,https://image1.ljcdn.com/rent-user-avatar/bf779744-f0cf-4208-8b5b-b9e61230f4f5.250x182.jpg,https://cs.lianjia.com/zufang/CS1685161090893217792.html,950 元/月
整租·荣悦台,45.00㎡,1室1厅1卫,南,天心,黄土岭-荣悦台,"https://image1.ljcdn.com/110000-inspection/pc1_idLqIdM14.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692160475665530880.html,3000 元/月
整租·下河街商贸城,26.00㎡,1室1厅1卫,东南,天心,五一广场-下河街商贸城,https://image1.ljcdn.com/rent-user-avatar/eb66dcff-9f7d-4426-bc6d-ec56aeec8844.250x182.jpg,https://cs.lianjia.com/zufang/CS1595269746339610624.html,1349 元/月
整租·勤诚达境界城,144.00㎡,4室2厅2卫,南北,望城,金星北-勤诚达境界城,"https://image1.ljcdn.com/110000-inspection/pc1_QouL2ZKtY.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692164852153319424.html,2800 元/月
整租·时代年华,139.00㎡,4室2厅2卫,南,望城,望城区-时代年华,"https://image1.ljcdn.com/110000-inspection/pc1_yHaePHdPh.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1622483510658859008.html,1800 元/月
整租·石长华天宿舍,105.00㎡,3室2厅2卫,南北,雨花,赤岗冲-石长华天宿舍,"https://image1.ljcdn.com/110000-inspection/pc1_VVdpyCp9W.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1622476433228038144.html,2200 元/月
整租·富利大楼,25.00㎡,1室0厅1卫,东南,芙蓉,浏城桥-富利大楼,https://image1.ljcdn.com/rent-user-avatar/a0fe17e3-8ec9-42c4-b0b6-6279c14d8f7e.250x182.jpg,https://cs.lianjia.com/zufang/CS1602165569161789440.html,1100 元/月
整租·湘绣城,72.92㎡,3室2厅2卫,南,长沙县,中南汽车世界-湘绣城,"https://image1.ljcdn.com/110000-inspection/pc1_VfHHQJtkL.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1622482051640852480.html,1600 元/月
整租·凤凰城（三期）紫云府,82.00㎡,2室1厅1卫,南,长沙县,开元路-凤凰城（三期）紫云府,"https://image1.ljcdn.com/110000-inspection/pc1_e1lj6sYzS_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1622525316872273920.html,1500 元/月
整租·富利大楼,30.00㎡,1室1厅1卫,东南,芙蓉,浏城桥-富利大楼,https://image1.ljcdn.com/rent-user-avatar/09a20c7a-373f-4aec-a360-5aad0aed2477.250x182.jpg,https://cs.lianjia.com/zufang/CS1602161561667895296.html,1459 元/月
整租·雨花大厦,28.00㎡,1室1厅1卫,东南,雨花,东塘-雨花大厦,https://image1.ljcdn.com/rent-user-avatar/b1326f56-3f92-4ff4-825f-ac3df3fe180b.250x182.jpg,https://cs.lianjia.com/zufang/CS1602595622773325824.html,1259 元/月
整租·格林星城,160.00㎡,4室2厅2卫,南,岳麓,金星中路-格林星城,"https://image1.ljcdn.com/110000-inspection/pc1_FTjIRMCd4.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1622527910831194112.html,3600 元/月
整租·白沙湾嘉园,162.00㎡,4室2厅2卫,南,雨花,武广新城-白沙湾嘉园,"https://image1.ljcdn.com/110000-inspection/pc1_I9uSh8riO.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1622543850293690368.html,3200 元/月
整租·华远华时代,40.00㎡,1室1厅1卫,南,开福,烈士公园-华远华时代,"https://image1.ljcdn.com/110000-inspection/pc1_R1tvETivW.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1622525082716864512.html,3000 元/月
整租·王公塘赛福尔公寓,33.00㎡,1室1厅1卫,东南,雨花,桂花村-王公塘赛福尔公寓,https://image1.ljcdn.com/rent-user-avatar/f492977a-dd90-4ca3-a67e-b5fb1287a59b.250x182.jpg,https://cs.lianjia.com/zufang/CS1624693665261682688.html,1309 元/月
整租·钱隆樽品,82.20㎡,2室2厅1卫,南,天心,金盆岭-钱隆樽品,"https://image1.ljcdn.com/110000-inspection/pc1_oBPKnNfJM.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1623257017495846912.html,2500 元/月
